label,message,tokens,message_length,word_count,avg_word_length
0,ok i am on the way to home hi hi,"['ok', 'way', 'home', 'hi', 'hi']",32,10,3.2
0,sometimes heart remembrs someone very much forgets someone soon bcoz heart will not like everyone but liked ones will be remembered everytime bslvyl,"['sometimes', 'heart', 'remembrs', 'someone', 'much', 'forgets', 'someone', 'soon', 'bcoz', 'heart', 'like', 'everyone', 'liked', 'ones', 'remembered', 'everytime', 'bslvyl']",148,23,6.434782608695652
0,i want to see your pretty pussy,"['want', 'see', 'pretty', 'pussy']",31,7,4.428571428571429
0,nah im a perpetual dd,"['nah', 'im', 'perpetual', 'dd']",21,5,4.2
0,bbq this sat at mine from ish ur welcome come,"['bbq', 'sat', 'mine', 'ish', 'ur', 'welcome', 'come']",45,10,4.5
0,would really appreciate if you call me just need someone to talk to,"['would', 'really', 'appreciate', 'call', 'need', 'someone', 'talk']",67,13,5.153846153846154
0,wa u so efficient gee thanx,"['wa', 'u', 'efficient', 'gee', 'thanx']",27,6,4.5
0,sorry my roommates took forever it ok if i come by now,"['sorry', 'roommates', 'took', 'forever', 'ok', 'come']",54,12,4.5
0,i want snow its just freezing and windy,"['want', 'snow', 'freezing', 'windy']",39,8,4.875
0,ok lor reaching then message me,"['ok', 'lor', 'reaching', 'message']",31,6,5.166666666666667
1,private your account statement for shows unredeemed s i m points call identifier code expires,"['private', 'account', 'statement', 'shows', 'unredeemed', 'points', 'call', 'identifier', 'code', 'expires']",93,15,6.2
0,wot is u up then bitch,"['wot', 'u', 'bitch']",22,6,3.6666666666666665
0,mm so you asked me not to call radio,"['mm', 'asked', 'call', 'radio']",36,9,4.0
1,new mobiles from must go txt nokia to no collect yours todayfrom only wwwtcbiz optout gbpmtmsg txtauction,"['new', 'mobiles', 'must', 'go', 'txt', 'nokia', 'collect', 'todayfrom', 'wwwtcbiz', 'optout', 'gbpmtmsg', 'txtauction']",105,17,6.176470588235294
0,delhi and chennai still silent,"['delhi', 'chennai', 'still', 'silent']",30,5,6.0
0,no promises on when though havent even gotten dinner yet,"['promises', 'though', 'havent', 'even', 'gotten', 'dinner', 'yet']",56,10,5.6
0,yup ive finished c there,"['yup', 'ive', 'finished', 'c']",24,5,4.8
0,how much r willing to pay,"['much', 'r', 'willing', 'pay']",25,6,4.166666666666667
0,havent stuck at orchard in my dads car going dinner now u leh so r they free tonight,"['havent', 'stuck', 'orchard', 'dads', 'car', 'going', 'dinner', 'u', 'leh', 'r', 'free', 'tonight']",84,18,4.666666666666667
0,not yet chikkuwat abt u,"['yet', 'chikkuwat', 'abt', 'u']",23,5,4.6
0,thats y u haf keep me busy,"['thats', 'u', 'haf', 'keep', 'busy']",26,7,3.7142857142857144
1,do you want a new video phone anytime any network mins inclusive video calls and downloads per week free deltomorrow call or reply now,"['want', 'new', 'video', 'phone', 'anytime', 'network', 'mins', 'inclusive', 'video', 'calls', 'downloads', 'per', 'week', 'free', 'deltomorrow', 'call', 'reply']",134,24,5.583333333333333
0,anytime lor,"['anytime', 'lor']",11,2,5.5
0,thank you princess you are so sexy,"['thank', 'princess', 'sexy']",34,7,4.857142857142857
0,well boy am i glad g wasted all night at applebees for nothing,"['well', 'boy', 'glad', 'g', 'wasted', 'night', 'applebees', 'nothing']",62,13,4.769230769230769
0,mum say we wan to go then go then she can shun bian watch da glass exhibition,"['mum', 'say', 'wan', 'go', 'go', 'shun', 'bian', 'watch', 'da', 'glass', 'exhibition']",77,17,4.529411764705882
0,ok there may be a free gym about,"['ok', 'may', 'free', 'gym']",32,8,4.0
0,dude got a haircut now its breezy up there,"['dude', 'got', 'haircut', 'breezy']",42,9,4.666666666666667
0,waaaat lololo ok next time then,"['waaaat', 'lololo', 'ok', 'next', 'time']",31,6,5.166666666666667
